,lat,long,air,rhum,acpcp,pres,uwnd,vwnd
19362,25.27134,-108.9342,301.57822,79.59352,0.60988045,101576.96,3.232113,-0.06373191
19363,25.27775,-108.6373,301.54697,83.78102,1.789568,101389.46,3.6842613,-0.81568503
19364,25.2831,-108.3403,303.59384,64.62477,3.9223804,100901.96,3.6832848,-0.82349753
19365,25.28738,-108.0433,304.28134,58.570084,7.992693,100426.96,3.6950035,-0.07642722
19366,25.29059,-107.7463,304.28134,58.570084,11.398943,99301.96,3.240902,-0.10181785
19367,25.29274,-107.4492,302.3126,62.12477,15.76613,97351.96,3.2399254,-0.11060691
19368,25.29382,-107.1522,292.61728,67.94508,15.758318,89389.46,2.5631676,-1.1428335
19369,25.29383,-106.8551,297.71884,69.515396,14.305193,86001.96,1.7965659,-0.40162253
19370,25.29278,-106.558,289.14072,64.859146,7.9536304,77514.46,-1.2424966,0.13939309
19371,25.29066,-106.261,290.0704,59.99977,5.773943,77139.46,-1.4309732,0.36693215
19372,25.28747,-105.964,289.76572,60.132584,4.570818,77514.46,-1.2190591,-0.26002097
19373,25.28322,-105.667,292.8126,49.08571,4.086443,79576.96,-1.6018716,0.010486841
19374,25.2779,-105.37,294.5079,45.015396,4.0630054,80539.46,-1.6243325,-0.17798972
19375,25.27151,-105.0731,294.1876,43.99977,2.180193,80776.96,-2.055973,-0.053966284
19694,25.26715,-113.9922,292.84384,92.18727,0.0005054176,101951.96,4.082699,-2.7863882
19695,25.29169,-113.6964,293.05478,92.44508,0.0005054176,101939.46,4.5856285,-2.5383413
19696,25.31518,-113.4005,293.35165,92.62477,0.0005054176,101901.96,4.577816,-2.5490835
19697,25.33761,-113.1043,293.35165,92.62477,0.0005054176,101889.46,4.6637535,-2.2160757
19698,25.35898,-112.8079,293.8829,91.81227,0.0005054176,101889.46,3.9518394,-1.3986928
19699,25.3793,-112.5114,294.64072,91.64821,0.0005054176,101864.46,4.2487144,-1.9192007
19700,25.39855,-112.2146,294.64072,91.64821,0.0005054176,101776.96,3.6598473,-1.9465444
19701,25.41675,-111.9178,298.48447,69.40602,0.0005054176,100976.96,3.5426598,-0.9748647
19702,25.43388,-111.6207,299.4454,60.132584,0.0005054176,99376.96,3.8629723,-1.7541616
19703,25.44994,-111.3235,299.17197,51.538834,0.0005054176,96589.46,3.1666832,-1.4172475
19704,25.46494,-111.0262,301.3204,48.421646,0.0005054176,97901.96,1.4293784,0.28978372
19705,25.47888,-110.7287,301.85947,72.015396,0.0005054176,101414.46,3.7037926,-0.9074819
19706,25.49174,-110.4312,301.78915,73.67946,0.0005054176,101614.46,1.5993003,0.9128306
19707,25.50354,-110.1335,301.7579,73.82008,0.0005054176,101601.96,2.075863,0.7175181
19708,25.51427,-109.8357,301.66415,76.21071,0.0005054176,101614.46,2.6393394,0.035877466
19709,25.52393,-109.5378,301.59384,80.16383,0.016130418,101601.96,2.6373863,0.030018091
19710,25.53252,-109.2399,301.59384,80.16383,0.10206792,101364.46,3.5797691,-0.43482566
19711,25.54004,-108.9419,301.55478,84.71071,0.71925545,101364.46,3.091488,-0.82056785
19712,25.54649,-108.6438,303.65634,63.570084,1.305193,100751.96,3.6393394,0.012439966
19713,25.55186,-108.3456,303.65634,63.570084,2.508318,100514.46,3.060238,0.011463404
19714,25.55617,-108.0475,304.20322,57.77321,4.992693,99826.96,2.997738,0.0016977787
19715,25.5594,-107.7493,303.61728,55.726334,7.555193,98114.46,2.5436363,-1.0305288
19716,25.56156,-107.451,296.98447,70.32008,11.555193,92064.46,-0.0813638,-1.0022085
19717,25.56264,-107.1528,292.61728,67.94508,12.438005,83289.46,1.4938315,-0.6154897
19718,25.56266,-106.8545,290.29697,67.92946,8.445818,79001.96,-0.27765286,-0.5481069
19719,25.5616,-106.5563,290.47665,59.46852,5.008318,77489.46,-0.30987942,-0.48658347
19720,25.55947,-106.258,290.0704,59.99977,3.570818,76814.46,-0.951481,0.16868997
19721,25.55626,-105.9598,290.66415,54.24977,1.6723804,77226.96,-1.8059732,-0.120372534
19722,25.55198,-105.6616,292.85947,46.30446,1.930193,78676.96,-1.80402,-0.116466284
19723,25.54663,-105.3635,292.85947,46.30446,1.883318,80676.96,-1.9944497,-0.07252097
19724,25.54021,-105.0654,296.1329,39.515396,0.98488045,82176.96,-2.1604652,-0.21021628
19725,25.53272,-104.7674,295.67978,39.890396,1.492693,82076.96,-2.1614418,-0.20533347
19726,25.52415,-104.4694,295.60165,41.546646,1.0161304,82676.96,-2.2356606,-0.029552221
19727,25.51452,-104.1716,297.3126,37.156017,0.36769292,83451.96,-3.2180824,-0.88795066
19728,25.50382,-103.8738,295.2501,44.43727,0.53956795,83839.46,-1.6721841,-0.3400991
19729,25.49204,-103.5761,300.60947,36.077892,0.45363042,87289.46,-1.9700357,-2.0266225
19730,25.4792,-103.2785,299.21103,39.445084,0.43800542,87826.96,-2.2581215,-1.7277944
19731,25.46529,-102.9811,300.3751,37.874767,0.30519292,88089.46,-2.267887,-1.7473257
19732,25.45032,-102.6837,299.5001,40.515396,0.18019292,87214.46,-2.4368324,-1.3908803
19733,25.43428,-102.3866,299.27353,41.08571,0.07081792,87101.96,-2.4729652,-1.4846303
19734,25.41718,-102.0895,299.0079,42.601334,0.0005054176,86326.96,-3.8880043,-1.0988882
19735,25.39901,-101.7926,294.39072,49.33571,0.023942918,83389.46,-3.8889809,-1.0910757
19736,25.37978,-101.4959,294.39072,49.33571,0.11769292,82539.46,-2.8606606,-1.1233022
19737,25.35949,-101.1993,293.5626,54.55446,0.51613045,82601.96,-3.9436684,-1.4328725
19738,25.33815,-100.903,289.9376,56.882584,1.352068,80901.96,-2.0501137,0.19505715
19739,25.31574,-100.6068,286.53134,65.734146,0.44581792,77551.96,-2.2229652,-1.0803335
19740,25.29228,-100.3108,285.03915,66.077896,0.29738042,79839.46,-2.4661293,0.2302134
19741,25.26776,-100.015,300.53134,57.59352,0.54738045,93114.46,-1.6067544,0.12669778
20035,25.29933,-116.3867,292.8751,91.859146,0.0005054176,102051.96,0.83660495,-3.0695913
20036,25.33243,-116.0918,292.6954,92.21071,0.0005054176,102039.46,1.7399253,-3.0764272
20037,25.36448,-115.7966,292.57822,92.67946,0.0005054176,102026.96,1.7330893,-3.079357
20038,25.39549,-115.5012,292.46884,92.921646,0.0005054176,102014.46,2.5670738,-3.136974
20039,25.42545,-115.2054,292.46884,92.921646,0.0005054176,102014.46,3.3307457,-3.1086538
20040,25.45436,-114.9095,292.36728,93.08571,0.0005054176,101989.46,3.3239098,-3.1154897
20041,25.48221,-114.6132,292.28134,92.74977,0.0005054176,101964.46,4.0250816,-3.003185
20042,25.50901,-114.3167,292.51572,92.66383,0.0005054176,101951.96,4.6364098,-2.7551382
20043,25.53475,-114.02,292.8126,92.33571,0.0005054176,101951.96,4.6305504,-2.7639272
20044,25.55943,-113.7231,292.83603,92.69508,0.0005054176,101926.96,4.9020348,-2.3059194
20045,25.58305,-113.426,293.09384,92.53102,0.0005054176,101901.96,5.0660973,-2.5910757
20046,25.60561,-113.1286,293.55478,92.452896,0.0005054176,101889.46,4.937191,-1.978771
20047,25.62711,-112.8311,294.03134,91.921646,0.0005054176,101889.46,3.9518394,-1.3977163
