,long,lat,prec,temp,pres,rh,uwnd,vwnd
19362,-108.9342,25.27134,0.0,301.83505,101165.41,86.12861,-0.928118,2.2346601
19363,-108.6373,25.27775,0.0,301.91318,100965.41,86.41767,-0.57264924,2.1575117
19364,-108.3403,25.2831,0.0,303.56943,100527.91,69.28485,-0.5706961,2.1594648
19365,-108.0433,25.28738,0.0,304.2335,100065.41,63.652042,0.9244211,2.038371
19366,-107.7463,25.29059,0.0,304.2335,98965.41,63.652042,1.0962961,1.1448165
19367,-107.4492,25.29274,0.0,302.69443,97065.41,63.448917,1.0982492,1.1418868
19368,-107.1522,25.29382,0.0,292.8038,89102.91,72.18329,1.2212961,0.6741134
19369,-106.8551,25.29383,0.0,298.13193,85765.41,71.9411,1.7134836,0.72782433
19370,-106.558,25.29278,0.015625,288.9991,77277.91,63.784855,2.4771554,1.3303634
19371,-106.261,25.29066,0.546875,290.41318,76877.91,59.761417,2.578718,2.1741133
19372,-105.964,25.28747,2.25,290.60068,77265.41,59.284855,2.210554,0.89091027
19373,-105.667,25.28322,4.359375,294.2335,79277.91,47.80048,1.5669992,1.1047775
19374,-105.37,25.2779,4.53125,296.83505,80240.41,41.292667,2.0591867,1.0549728
19375,-105.0731,25.27151,2.296875,296.91318,80440.41,38.909855,1.3990304,1.137004
19694,-113.9922,25.26715,0.0,293.22568,101502.91,89.26923,5.8052807,-6.6120195
19695,-113.6964,25.29169,0.0,293.33505,101502.91,89.76923,6.3453197,-6.213582
19696,-113.4005,25.31518,0.0,293.53818,101427.91,91.03486,6.331648,-6.229207
19697,-113.1043,25.33761,0.0,293.53818,101415.41,91.03486,6.5484447,-5.501668
19698,-112.8079,25.35898,0.0,293.9991,101415.41,91.34736,5.859968,-3.6657302
19699,-112.5114,25.3793,0.0,294.89755,101377.91,90.15205,6.1695385,-4.6393633
19700,-112.2146,25.39855,0.0,294.89755,101277.91,90.15205,5.333601,-3.904988
19701,-111.9178,25.41675,0.0,297.47568,100527.91,74.51141,3.6402414,-1.2487382
19702,-111.6207,25.43388,0.0,298.33505,98927.91,67.3161,4.5533276,-3.0895584
19703,-111.3235,25.44994,0.0,300.39755,96127.91,42.323917,3.132429,-1.4753007
19704,-111.0262,25.46494,0.0,301.921,97402.91,44.527042,-0.7513602,2.6379807
19705,-110.7287,25.47888,0.0,302.2491,100927.91,78.081726,0.8716867,1.2766525
19706,-110.4312,25.49174,0.0,302.19443,101127.91,78.97235,-0.66835237,2.7903244
19707,-110.1335,25.50354,0.0,302.1241,101140.41,80.394226,-0.78846955,2.8821213
19708,-109.8357,25.51427,0.0078125,302.0538,101165.41,83.175476,-1.1615164,2.713176
19709,-109.5378,25.52393,0.0078125,301.96786,101165.41,86.27705,-1.1527274,2.7141526
19710,-109.2399,25.53252,0.0,301.96786,100965.41,86.27705,-0.5970633,2.0461836
19711,-108.9419,25.54004,0.0,301.89755,100977.91,87.91767,-0.6654227,2.598918
19712,-108.6438,25.54649,0.0,303.14755,100402.91,71.65985,0.73496795,1.949504
19713,-108.3456,25.55186,0.0,303.14755,100127.91,71.65985,0.9966867,1.23759
19714,-108.0475,25.55617,0.0,303.70224,99477.91,66.44891,0.98985076,1.3586837
19715,-107.7493,25.5594,0.0,303.63193,97765.41,61.066105,1.0259836,0.71219933
19716,-107.451,25.56156,0.0,297.2335,91752.91,72.9411,-0.5638602,1.2834884
19717,-107.1528,25.56264,0.0,292.8038,83077.91,72.18329,1.3648508,1.0305587
19718,-106.8545,25.56266,0.0,290.72568,78765.41,67.80829,0.94102263,1.2483321
19719,-106.5563,25.5616,0.0,290.6788,77265.41,60.409855,0.8980539,1.5383712
19720,-106.258,25.55947,0.3515625,290.41318,76565.41,59.761417,2.3414133,1.1428634
19721,-105.9598,25.55626,1.484375,291.6241,76952.91,54.503605,2.7779367,1.4309493
19722,-105.6616,25.55198,2.7265625,295.0538,78377.91,43.816105,2.781843,1.4260665
19723,-105.3635,25.54663,2.2734375,295.0538,80340.41,43.816105,1.5650461,1.1770431
19724,-105.0654,25.54021,0.5234375,299.4366,81827.91,33.64423,-0.41639924,1.027629
19725,-104.7674,25.53272,0.0390625,298.8585,81727.91,33.183292,-0.41151643,1.027629
19726,-104.4694,25.52415,0.0,298.50693,82327.91,33.128605,-0.61366487,1.01884
19727,-104.1716,25.51452,0.0078125,300.33505,83052.91,31.011415,-1.2581961,1.4270431
19728,-103.8738,25.50382,0.0078125,298.10068,83452.91,33.402042,-0.8997977,0.67020714
19729,-103.5761,25.49204,0.0,303.546,86840.41,27.698915,-1.3978446,-0.12276161
19730,-103.2785,25.4792,0.0,301.97568,87402.91,30.066103,-2.9359305,-0.34737098
19731,-102.9811,25.46529,0.0,303.20224,87665.41,29.12079,-2.3314383,0.31766808
19732,-102.6837,25.45032,0.0,301.41318,86815.41,32.089542,-2.3617117,0.965129
19733,-102.3866,25.43428,0.0,301.4835,86740.41,31.980165,-2.2747977,0.70926964
19734,-102.0895,25.41718,0.0,301.4835,85965.41,32.55048,-2.1585867,1.9573164
