"","Longitude","Latitude","PM25","Date"
"57",-87.880258,30.4974780008256,8,"06/28/2022"
"115",-85.803608,33.284928000866,8,"06/28/2022"
"172",-85.969858,34.2885670008786,8.4,"06/28/2022"
"346",-85.992647,33.991494000875,7.9,"06/28/2022"
"551",-86.815,33.5530560008695,9.9,"06/28/2022"
"713",-86.815,33.5530560008695,11,"06/28/2022"
"855",-87.003611,33.3311110008666,9.3,"06/28/2022"
"1028",-87.003611,33.3311110008666,8.5,"06/28/2022"
"1345",-86.549167,33.5452780008694,9.5,"06/28/2022"
"1538",-86.924167,33.4997220008688,8.5,"06/28/2022"
"1568",-86.924167,33.4997220008688,8.8,"06/28/2022"
"1746",-86.924167,33.4997220008688,12.7,"06/28/2022"
"1940",-86.844112,33.5214274856,9.4,"06/28/2022"
"2107",-86.9425,33.8016670008726,8,"06/28/2022"
"2413",-86.796389,33.5652780008696,10.1,"06/28/2022"
"3007",-88.087761,30.7701810008299,6.9,"06/28/2022"
"3184",-88.087761,30.7701810008299,9,"06/28/2022"
"3372",-86.263394,32.4128110008542,9,"06/28/2022"
"3400",-86.263394,32.4128110008542,8.7,"06/28/2022"
"3576",-86.263394,32.4128110008542,5.6,"06/28/2022"
"3783",-86.967536,34.5307170008815,7.3,"06/28/2022"
"3962",-86.967536,34.5307170008815,7.1,"06/28/2022"
"4140",-84.999653,32.437028,10,"06/28/2022"
"4316",-84.999653,32.437028,11.1,"06/28/2022"
"4640",-88.277992,32.3626060008535,9.3,"06/28/2022"
"4836",-87.484189,33.1899310008648,9.3,"06/28/2022"
"4872",-149.824602,61.2058610007956,7.3,"06/28/2022"
"5051",-149.824602,61.2058610007956,7.2,"06/28/2022"
"5357",-147.727413,64.84569,216.8,"06/28/2022"
"5407",-147.727413,64.84569,230.2,"06/28/2022"
"5554",-147.310279,64.762641,174.8,"06/28/2022"
"5606",-147.310279,64.762641,176.1,"06/28/2022"
"5801",-147.69327,64.845930000725,215.6,"06/28/2022"
"5999",-134.56723651676,58.3884971242076,14.8,"06/28/2022"
"6327",-149.031655,61.534163,3.7,"06/28/2022"
"6502",-109.438003185736,35.8804038106536,2.6,"06/28/2022"
"6545",-109.438003185736,35.8804038106536,3.5,"06/28/2022"
"7051",-112.14256,33.4837800008686,6.5,"06/28/2022"
"7376",-111.86536,33.4101800008677,4,"06/28/2022"
"7688",-112.06619,33.5603100008696,4.2,"06/28/2022"
"8013",-112.19193,33.5745300008697,4.2,"06/28/2022"
"8342",-112.07526,33.4031400008676,5.1,"06/28/2022"
"8671",-111.93471,33.4112300008677,5.3,"06/28/2022"
"8994",-112.00264,33.41046,4.9,"06/28/2022"
"9174",-111.855442782055,33.4881307853725,5.7,"06/28/2022"
"9364",-112.11821,33.4265000008679,5.4,"06/28/2022"
"9572",-112.095767,33.503833,5,"06/28/2022"
"9749",-112.095767,33.503833,6.9,"06/28/2022"
"10074",-111.038389291448,32.3226614191457,2.3,"06/28/2022"
"10281",-110.9823,32.29515,5.6,"06/28/2022"
"10450",-110.9823,32.29515,5.6,"06/28/2022"
"10772",-110.99644,31.87952,5,"06/28/2022"
"10946",-110.980134,32.1729950008509,4.4,"06/28/2022"
"11122",-111.12716,32.38082,4.2,"06/28/2022"
"11299",-110.965293,32.251843000852,5.6,"06/28/2022"
"11533",-111.752222,32.8775830008606,4.6,"06/28/2022"
"11625",-111.503222,33.4211940008678,4.7,"06/28/2022"
"11883",-112.03705,32.884761,10.6,"06/28/2022"
"11946",-110.936718,31.337204,4.9,"06/28/2022"
"12123",-110.936718,31.337204,3.4,"06/28/2022"
"12873",-90.1931407655994,35.1972876317392,8.5,"06/28/2022"
"13391",-92.2812958643647,34.7561888042723,9.5,"06/28/2022"
"13724",-92.328697163421,34.6813433627688,9.4,"06/28/2022"
"14133",-94.1168273808054,36.1797000452413,9.4,"06/28/2022"
"14305",-104.93647,39.8281,12.6,"06/28/2022"
"14501",-104.93647,39.8281,6.3,"06/28/2022"
"14702",-105.019526,39.6043990009268,6,"06/28/2022"
"14788",-105.100856,40.1645760009301,4.5,"06/28/2022"
"14998",-105.100856,40.1645760009301,4.7,"06/28/2022"
"15206",-105.263382,40.0210970009293,5,"06/28/2022"
"15525",-104.987625,39.7511840009277,6.5,"06/28/2022"
"15657",-104.987625,39.7511840009277,7.6,"06/28/2022"
"15853",-104.987625,39.7511840009277,6.2,"06/28/2022"
"16179",-104.939925,39.7385780009277,6.7,"06/28/2022"
"16385",-105.00518,39.77949,6.9,"06/28/2022"
"16597",-105.00518,39.77949,7.1,"06/28/2022"
"16773",-105.0153,39.73217,8,"06/28/2022"
"16965",-105.0153,39.73217,3.6,"06/28/2022"
"17287",-104.9886,39.7861,5.8,"06/28/2022"
"17495",-105.070358,39.5344880009264,10,"06/28/2022"
"17706",-105.070358,39.5344880009264,4.2,"06/28/2022"
"18030",-104.828564,38.8480140009219,2.4,"06/28/2022"
"18383",-107.62863,37.13678,4.3,"06/28/2022"
"18711",-107.870219,37.10258,4.9,"06/28/2022"
"19040",-105.079693,40.5712880009321,4.8,"06/28/2022"
"19368",-108.561173,39.0637980009234,4.5,"06/28/2022"
"19788",-108.761389,40.0869440009297,10.9,"06/28/2022"
"20112",-104.70693,40.4148770009314,5.3,"06/28/2022"
"20307",-104.82405,40.2093870009303,9.6,"06/28/2022"
"20495",-121.784217,37.687526,5.7,"06/28/2022"
